Participant ID,Duration_seconds,LowQualityTag_Perc,UniversalDisagreement_Perc,ASC_Score_Raw,LLM_Judge_Score,LLM_anthropic_claude_sonnet_4,LLM_openai_gpt_4o_mini,LLM_google_gemini_2.5_flash_preview,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,LLM_Judge_Norm,PRI_Score_Heuristic,PRI_Score_Enhanced,PRI_Score,PRI_Scale_1_5
84c164b5-dff4-4efc-a81d-2e3e7b630df3,1740.0,0.0,0.0,0.047619047619047616,0.5,0.4,0.6,0.5,0.32222222222222224,1.0,1.0,0.9523809523809523,0.52,0.7871428571428571,0.7133015873015874,0.7133015873015874,3.8532063492063497
0fa79f05-e77f-4f95-a82e-932f79a885c7,2640.0,0.08333333333333333,0.0,0.28,0.7333333333333334,0.7,0.8,0.7,0.4888888888888889,0.8,1.0,0.72,0.8,0.7306666666666667,0.7557777777777778,0.7557777777777778,4.0231111111111115
708308a0-1d82-4cdc-9e9d-1b277b29ed14,2220.0,0.0,0.0,0.12,0.75,0.75,0.8,0.7,0.4111111111111111,1.0,1.0,0.88,0.82,0.7993333333333333,0.8102222222222223,0.8102222222222223,4.24088888888889
54ed534d-71d2-4718-88fd-41576605ee8c,1500.0,0.0,0.0,0.08333333333333333,0.8833333333333333,0.85,0.9,0.9,0.2777777777777778,1.0,1.0,0.9166666666666666,0.98,0.7666666666666666,0.8370555555555554,0.8370555555555554,4.348222222222222
28db0d67-bfbd-4434-9f82-32901f398049,2100.0,0.0,0.0,0.08,0.7000000000000001,0.7,0.8,0.6,0.3888888888888889,1.0,1.0,0.92,0.76,0.8006666666666667,0.7937777777777778,0.7937777777777778,4.175111111111111
4fb46291-aa2f-4665-8682-54d5eff2c03a,2040.0,0.08333333333333333,0.0,0.72,0.26666666666666666,0.2,0.4,0.2,0.37777777777777777,0.8,1.0,0.28,0.24,0.6093333333333334,0.49955555555555553,0.49955555555555553,2.998222222222222
73d707e1-3e97-4321-aad5-2a0a43cd2465,1440.0,0.0,0.0,0.045454545454545456,0.7333333333333334,0.7,0.8,0.7,0.26666666666666666,1.0,1.0,0.9545454545454546,0.8,0.770909090909091,0.7865151515151515,0.7865151515151515,4.1460606060606064
c266ab88-c0e8-4e5d-9a12-86dd97ff9315,3780.0,0.16666666666666666,0.0,0.24,0.8333333333333334,0.85,0.8,0.85,0.7,0.6000000000000001,1.0,0.76,0.92,0.7420000000000001,0.8,0.8,4.2
ead9da1b-4797-4abe-800c-adb01b6c5987,2460.0,0.0,0.0,0.0,0.4666666666666666,0.4,0.6,0.4,0.45555555555555555,1.0,1.0,1.0,0.4799999999999999,0.8366666666666667,0.735111111111111,0.735111111111111,3.940444444444444
eb3a3418-81c9-4a04-bdc0-cc7961d6e038,1560.0,0.3333333333333333,0.058823529411764705,0.04,0.13333333333333333,0.1,0.2,0.1,0.28888888888888886,0.20000000000000007,0.6666666666666667,0.96,0.08,0.47200000000000003,0.3657777777777778,0.3657777777777778,2.463111111111111
dcc45427-9a7e-4b70-9080-2020dd736a59,4080.0,0.0,0.0,0.36,0.7833333333333333,0.75,0.8,0.8,0.7555555555555555,1.0,1.0,0.64,0.86,0.8546666666666666,0.8551111111111112,0.8551111111111112,4.420444444444445
391600a7-315e-4adc-b3e5-7effd8d9db34,1860.0,0.16666666666666666,0.058823529411764705,0.28,0.6666666666666666,0.7,0.6,0.7,0.34444444444444444,0.6000000000000001,0.6666666666666667,0.72,0.72,0.5606666666666666,0.6128888888888889,0.6128888888888889,3.4515555555555557
7ecd9a3b-99c3-4e9e-9009-e4c58e019602,3000.0,0.0,0.0,0.08,0.5,0.4,0.6,0.5,0.5555555555555556,1.0,1.0,0.92,0.52,0.8506666666666668,0.7551111111111112,0.7551111111111112,4.020444444444445
699716ca-1546-48fb-bc78-484b2e4c6a82,2100.0,0.0,0.058823529411764705,0.28,0.7000000000000001,0.7,0.8,0.6,0.3888888888888889,1.0,0.6666666666666667,0.72,0.76,0.6940000000000001,0.7137777777777777,0.7137777777777777,3.855111111111111
4715a346-e9aa-4178-b261-324c5cc41bf7,2580.0,0.0,0.0,0.28,0.8666666666666667,0.85,0.9,0.85,0.4777777777777778,1.0,1.0,0.72,0.96,0.7873333333333333,0.8415555555555556,0.8415555555555556,4.3662222222222224
