Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more casual and simple ,0.4000,Central Asia,0.0000,O7: Philippines,0.8200
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more formal or casual in its response and provide detailed explanations. ,0.3850,O7: Kazakhstan,0.1100,O7: Philippines,0.8800
dd763195-3c65-4140-86a7-6710f1f0d692,What topics or life decisions should always be discussed with family members or community elders before making a choice?,Only topics that are shared responsibilities but I think nothing,0.3752,O1: Arabic,0.0600,Southern Europe,0.8200
488fe534-c05c-47e1-a979-a38d1a20a2c4,"In your culture, what makes a conversation feel respectful and appropriate? Describe specific ways of speaking or interacting that show respect.","Respect everyone's choice and don't judge others by your own standards. For example, some people choose to get married, while others choose not to get married. Both choices should be respected, understood and recognized because everyone's situation and background are different.",0.3647,Central Asia,0.1500,O7: Philippines,0.8800
8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,How should an AI assistant demonstrate that it understands and respects your cultural heritage while still being helpful with modern tasks?,Seek truth from facts,0.3622,Southern Europe,0.1800,O6: Other religious group,0.9100
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more formal or in casual in its responses,0.3594,O7: Kazakhstan,0.1600,O7: Philippines,0.8800
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more formal or casual in it's response.,0.3594,O7: Kazakhstan,0.1600,O7: Philippines,0.8800
387627e5-48a0-47e6-b740-6a74330c7ccf,Imagine you're working with an AI assistant on important tasks in your life. What principles or values would you want this AI to consistently demonstrate in all its interactions?,"Nothing too specific, just a sort of general amount of respect and being considerate with my time, basically that it's always trying to help me improve either by helping me to learn, figure out stuff, find new paths and help deciding, so the values of a tutor or a counselor guide.",0.3594,O7: Kazakhstan,0.1600,O7: Philippines,0.8800
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more formal or casual the response its easy to understand and fell comfortable ,0.3594,O7: Kazakhstan,0.1600,O7: Philippines,0.8800
c67e414e-a02f-4ef5-a26a-68553a1df15f,"When you work with an AI assistant, would you prefer it to: 
Be more formal or casual in its responses?
Provide detailed explanations or get straight to the point?
Take on a specific role (like a teacher, editor, or coach)?
Focus on certain topics or areas of expertise?",Be more formalia or casual in its responses,0.3594,O7: Kazakhstan,0.1600,O7: Philippines,0.8800
