Segment Name,Participant Count,Onboarding Question
Arabic,18,O1
Chinese (China),91,O1
English,742,O1
French,14,O1
Hindi,5,O1
Portuguese (Portugal),25,O1
Russian,27,O1
Spanish,64,O1
&lt;18,0,O2
18-25,288,O2
26-35,400,O2
36-45,184,O2
46-55,85,O2
56-65,21,O2
65+,8,O2
Female,483,O3
Male,488,O3
Non-binary,8,O3
Other / prefer not to say,7,O3
Rural,88,O4
Suburban,245,O4
Urban,653,O4
Equally concerned and excited,539,O5
More concerned than excited,113,O5
More excited than concerned,334,O5
Buddhism,33,O6
Christianity,327,O6
Hinduism,134,O6
I do not identify with any religious group or faith,282,O6
Islam,165,O6
Judaism,21,O6
Other religious group,20,O6
Sikhism,4,O6
Afghanistan,0,O7
Albania,0,O7
Algeria,6,O7
Andorra,0,O7
Angola,0,O7
Antigua & Deps,0,O7
Argentina,1,O7
Armenia,1,O7
Australia,10,O7
Austria,2,O7
Azerbaijan,0,O7
Bahamas,0,O7
Bahrain,0,O7
Bangladesh,16,O7
Barbados,0,O7
Belarus,0,O7
Belgium,3,O7
Belize,0,O7
Benin,0,O7
Bhutan,0,O7
Bolivia,0,O7
Bosnia Herzegovina,0,O7
Botswana,0,O7
Brazil,30,O7
Brunei,0,O7
Bulgaria,0,O7
Burkina,0,O7
Burundi,0,O7
Cambodia,0,O7
Cameroon,0,O7
Canada,26,O7
Cape Verde,0,O7
Central African Rep,0,O7
Chad,0,O7
Chile,38,O7
China,70,O7
Colombia,0,O7
Comoros,0,O7
Congo,0,O7
Congo {Democratic Rep},0,O7
Costa Rica,0,O7
Croatia,1,O7
Cuba,1,O7
Cyprus,0,O7
Czech Republic,0,O7
Denmark,2,O7
Djibouti,0,O7
Dominica,0,O7
Dominican Republic,0,O7
East Timor,0,O7
Ecuador,0,O7
Egypt,12,O7
El Salvador,0,O7
Equatorial Guinea,0,O7
Eritrea,0,O7
Estonia,0,O7
Ethiopia,0,O7
Fiji,0,O7
Finland,3,O7
France,13,O7
Gabon,0,O7
Gambia,0,O7
Georgia,0,O7
Germany,11,O7
Ghana,0,O7
Greece,1,O7
Grenada,0,O7
Guatemala,0,O7
Guinea,0,O7
Guinea-Bissau,0,O7
Guyana,0,O7
Haiti,0,O7
Honduras,0,O7
Hungary,4,O7
Iceland,1,O7
India,183,O7
Indonesia,40,O7
Iran,0,O7
Iraq,0,O7
Ireland {Republic},1,O7
Israel,29,O7
Italy,9,O7
Ivory Coast,0,O7
Jamaica,0,O7
Japan,22,O7
Jordan,0,O7
Kazakhstan,16,O7
Kenya,143,O7
Kiribati,0,O7
Korea North,0,O7
Korea South,15,O7
Kosovo,0,O7
Kuwait,0,O7
Kyrgyzstan,0,O7
Laos,0,O7
Latvia,0,O7
Lebanon,0,O7
Lesotho,0,O7
Liberia,0,O7
Libya,1,O7
Liechtenstein,0,O7
Lithuania,0,O7
Luxembourg,0,O7
Macedonia,0,O7
Madagascar,0,O7
Malawi,7,O7
Malaysia,13,O7
Maldives,0,O7
Mali,0,O7
Malta,0,O7
Marshall Islands,0,O7
Mauritania,0,O7
Mauritius,0,O7
Mexico,16,O7
Micronesia,0,O7
Moldova,0,O7
Monaco,0,O7
Mongolia,0,O7
Montenegro,0,O7
Morocco,13,O7
Mozambique,0,O7
"Myanmar, {Burma}",0,O7
Namibia,0,O7
Nauru,0,O7
Nepal,0,O7
Netherlands,5,O7
New Zealand,2,O7
Nicaragua,0,O7
Niger,0,O7
Nigeria,0,O7
Norway,1,O7
Oman,0,O7
Pakistan,24,O7
Palau,0,O7
Palestine,1,O7
Panama,1,O7
Papua New Guinea,0,O7
Paraguay,0,O7
Peru,0,O7
Philippines,19,O7
Poland,8,O7
Portugal,2,O7
Qatar,0,O7
Romania,1,O7
Russian Federation,9,O7
Rwanda,0,O7
Saint Vincent & the Grenadines,1,O7
Samoa,0,O7
San Marino,0,O7
Sao Tome & Principe,0,O7
Saudi Arabia,4,O7
Senegal,0,O7
Serbia,0,O7
Seychelles,0,O7
Sierra Leone,0,O7
Singapore,8,O7
Slovakia,10,O7
Slovenia,0,O7
Solomon Islands,0,O7
Somalia,0,O7
South Africa,8,O7
South Sudan,0,O7
Spain,11,O7
Sri Lanka,0,O7
St Kitts & Nevis,0,O7
St Lucia,0,O7
Sudan,1,O7
Suriname,0,O7
Swaziland,0,O7
Sweden,3,O7
Switzerland,2,O7
Syria,0,O7
Taiwan,0,O7
Tajikistan,0,O7
Tanzania,0,O7
Thailand,0,O7
Togo,0,O7
Tonga,0,O7
Trinidad & Tobago,0,O7
Tunisia,1,O7
Turkmenistan,0,O7
Tuvalu,0,O7
Türkiye,10,O7
Uganda,0,O7
Ukraine,2,O7
United Arab Emirates,2,O7
United Kingdom,25,O7
United States,52,O7
Uruguay,0,O7
Uzbekistan,0,O7
Vanuatu,0,O7
Vatican City,0,O7
Venezuela,0,O7
Vietnam,12,O7
Yemen,0,O7
Zambia,0,O7
Zimbabwe,1,O7
44+,114,
55+,29,
Africa,193,
Asia,484,
Caribbean,2,
Central America,17,
Central Asia,16,
Eastern Africa,151,
Eastern Asia,107,
Eastern Europe,34,
Europe,130,
Middle Africa,0,
North America,97,
Norther Europe,36,
Northern Africa,34,
Northern America,78,
Oceania,12,
South America,69,
South Eastern Asia,92,
Souther Asia,223,
Southern Africa,8,
Southern Europe,24,
Western Africa,0,
Western Asia,47,
Western Europe,36,
