Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
9cc4f2fc-dee9-4196-b1c7-b437544668c8,Can you explain why you gave that trust score to your AI chatbot?,because usually they are programmed on ethical bases so it wont go beyond that,0.3747,O7: Israel,0.1400,O1: Arabic,0.8900
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I support 1 interms of job stability and 2 interms of meaningful work.,0.3742,O7: United Kingdom,0.2200,O7: Philippines,1.0000
0db7bbdf-847c-4e1b-a89b-22a8d8e6a02b,Would you want this future or not? Please explain why.,"Yes for people to have company, no because they are still alone.",0.3693,Central Asia,0.1900,O7: Philippines,0.9400
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I really have no idea.,0.3647,O7: Japan,0.1500,O7: Bangladesh,0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,"Honestly, I don't know.",0.3647,O7: Japan,0.1500,O7: Bangladesh,0.8800
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"2. Where there is division based on cultural affiliation, there is always a risk of war. A war in which both sides use AI seems to me to be the worst of all possible nightmares.",0.3541,O1: Arabic,0.1700,Central America,0.8800
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2 because it seems more egalitarian.,0.3541,O1: Arabic,0.1700,O7: Bangladesh,0.8800
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,Disagree because AI can never predict what requirement the user has and should not waste money on random stuff human situation changes suddenly,0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,"AI should not make choices 
",0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,This is not a decision that should be relied on by AI,0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,This takes away the freedom of the individual(s) decision. The AI shouldn't be taking control of financial decisions.,0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,"I disagree because I think AI still needs to be developed to the extent that it will make decisions about finances. However, it can give advice.",0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,I don't want artificial intelligence to make decisions for me.,0.3521,O7: Bangladesh,0.1900,O6: Buddhism,0.9000
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 2. Some countries would otherwise manipulate their AI versions to hurt other countries,0.3510,O1: Arabic,0.2200,Central America,0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. Hasn’t this question been answered before?,0.3510,O1: Arabic,0.2200,O7: Bangladesh,0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"The rapid integration of AI into global systems challenges traditional legal frameworks, especially regarding state sovereignty and regulatory",0.3510,O1: Arabic,0.2200,O7: Bangladesh,0.9400
